	title	courier_id	record_number	page_numbers
38	Super arms for the developing countries	078379	56970	[(3, '3')]
39	100 years of effort: forgotten city cleared from the jungle	054453	54462	[(3, '3')]
40	12th century diary in stone: a record of daily life carved on the walls of the Bayon temple	054453	54465	[(3, '3')]
41	Angkor, masterpiece of architecture and town-planning	054453	54455	[(3, '3')]
42	The Khmer smile of the Bayon	054453	54457	[(3, '3'), (15, '15'), (39, '39')]
43	Notes of a 13th century Chinese diplomat in Cambodia	054453	54459	[(3, '3'), (27, '27')]
44	S.O.S Angkor	054453	188338	[(3, '3'), (43, '43')]
45	100 years of the Danish folk high school movement	074013	74022	[]
46	Adult education	074013	74021	[(1, '1'), (5, '5'), (6, '6'), (7, '7'), (8, '8'), (10, '10'), (11, '11'), (12, '12')]
47	Adult education and the future of our civilization	074013	74023	[]
48	A Blueprint of directives	074013	74016	[(2, '2')]
49	The Latin American struggle against illiteracy	074013	74027	[]
50	A Problem of vital concern to all scientists...	074013	74024	[(9, '9')]
51	The Role of scientific abstracting journals	074013	74025	[(9, '9')]
52	The School-bell in the wilderness: aid to Middle East refugee schools	074013	74017	[]
53	School broadcasting: experts urge creation of UNESCO world information centre	074013	74020	[(4, '4')]
54	The Story of Antonio Arango: a UNESCO 'Food and people' pamphlet	074013	74028	[(12, '12')]
55	UNESCO Board votes emergency aid for Greek refugee children	074013	74014	[]
56	UNESCO creates Regional Office in western hemisphere	074013	74015	[(1, '1')]
57	UNESCO maps aid plan for 'backward' areas	074013	74026	[]
58	UNESCO sponsors camp schools for Middle East refugee children	074013	74018	[]
59	UNESCO to start Feature Service for world press on July 15	074013	74019	[(4, '4')]
60	15 years ago...	063446	63411	[(3, '3'), (4, '4'), (8, '8'), (10, '10'), (21, '21'), (27, '27')]
61	Ataturk and the emancipation of women	063446	63441	[(3, '3')]
62	Culture and freedom	063446	63443	[(30, '30'), (32, '32')]
63	Eleanor Roosevelt: a lifetime of dedication to human rights	063446	63414	[(3, '3'), (15, '15'), (35, '35')]
64	Life of court and people in ancient Turkish art	063446	63433	[]
65	The Outlawing of India's caste system	063446	63413	[(3, '3'), (12, '12')]
66	Text of the Universal Declaration of Human Rights	063446	63432	[]
67	UNESCO and human rights for all	063446	63412	[(3, '3'), (7, '7')]
68	17 major wreck sites in the Mediterranean	078276	52095	[(3, '3')]
69	The Archaeologist in deep water	078276	52093	[(3, '3'), (34, '34')]
70	Buried treasure beneath the Spanish main	078276	52089	[(3, '3'), (23, '23')]
71	Diving into the past; the new world of underwater archaeology	078276	52086	[]
72	The Drowned city of Port Royal	078276	52090	[(3, '3'), (28, '28'), (38, '38')]
73	The Sacred well of Chichén-Itzá	078276	52092	[]
74	The Trials of an underwater archaeologist	078276	52087	[(3, '3'), (8, '8')]
75	Under the icy seas of northern Europe	078276	52088	[(3, '3'), (16, '16')]
76	1794: The French Convention abolishes slavery	098493	98447	[(3, '3')]
77	The Black Code	098493	98444	[(3, '3')]
78	The Challenge of cultural pluralism: commentary	098493	98458	[]
79	A Continent of fear	098493	98438	[(3, '3'), (16, '16')]
80	The Danube delta: a place the gods forgot	098493	98460	[(3, '3')]
81	Elvis the African	098493	98479	[(3, '3')]
82	Federico Mayor: keeping ahead of the future	098493	98471	[(3, '3'), (45, '45')]
83	Forced labour: human bondage in today's world	098493	98454	[(26, '26')]
84	Greenwatch: saving the Aral: the drama of Central Asia's great lake	098493	98461	[(3, '3')]
85	Gregorio Marañón: the future of culture	098493	98472	[]
86	Hermann von Helmholtz, physiologist and physicist; anniversary	098493	98463	[]
87	The Long road to abolition	098493	98445	[(3, '3'), (20, '20')]
88	Month by month	098493	98433	[(4, '4')]
89	A New international project: the Slave Route	098493	98456	[(29, '29')]
90	The Plight of the world's street children	098493	98470	[(3, '3'), (43, '43')]
91	A Slave's story: my name is Moses Grandy	098493	98437	[]
92	Strings down the centuries	098493	98478	[(3, '3'), (48, '48')]
93	Under the whiplash	098493	98435	[(3, '3'), (8, '8')]
94	Who was responsible?	098493	98436	[(3, '3'), (11, '11')]
95	Yehudah Amichai talks to Edgar Reichmann	098493	98434	[(5, '5')]
96	1948 working programme set for Amazon Institute	073790	73800	[]
97	Child experts meet at Pestalozzi village	073790	73073	[(1, '1')]
98	Close links traced between early Greek/Syrian cultures	073790	73804	[(7, '7')]
99	Dr. Cheng describes close cooperation between China and UNESCO	073790	73805	[(7, '7')]
100	Educators study school reforms	073790	73791	[(1, '1')]
101	I.T.I.: a liaison centre for theatres the world over	073790	73803	[(6, '6')]
102	Museum directors gather at first World Conference	073790	74503	[]
103	Reconstruction problem in Southeast Asia	073790	73795	[]
104	A Report on Tensions Meeting, as a psychiatrist saw it	073790	73797	[]
105	Social scientists issue joint statement on world tensions	073790	73796	[(3, '3')]
106	Social studies planned of Amazon peoples	073790	73802	[(5, '5')]
107	Some historic elements of Persian painting as a world influence	073790	73806	[(7, '7')]
108	The Story of the United Nations Radio	073790	73807	[(8, '8')]
109	Technical needs workers report on findings	073790	73793	[(2, '2')]
110	U.S. educational aid exceeds eighty million dollars	073790	73075	[(1, '1')]
111	What is UNESCO's role in scientific research?	073790	73801	[(5, '5')]
112	1950 UNESCO seminars chart a way to world understanding through improved educational techniques	081475	81504	[]
113	Bach, the genius who served truth	081475	81505	[(15, '15')]
114	Balzac and the human comedy	081475	81492	[(10, '10')]
115	Conference resolutions give UNESCO added power to work for peace	081475	81487	[]
116	Dutch painters put sky views on canvas	081475	74396	[]
117	Fifth General Conference approves a long-term plan for UNESCO	081475	81484	[]
118	Food and people booklets aid educational drive in U.S.	081475	74391	[(11, '11')]
119	General Conference adopts world agreement for duty-free import of educational materials	081475	81488	[]
120	How Salerno lighted a path through the dark ages	081475	81506	[]
121	A Hundred groups with a common aim	081475	81477	[(2, '2')]
122	It happened in August	081475	74402	[]
123	It happened in July	081475	74398	[]
124	Many nations seek new uses for free fuel	081475	81494	[(11, '11')]
125	Race and civilization	081475	81491	[]
126	Refugee musical ambassadors tour Western Europe	081475	81498	[(13, '13')]
127	The Scientific basis for human unity: UNESCO publishes Declaration by world's scientists	081475	81490	[]
128	Six new UNESCO Executive Board members elected by the General Conference	081475	74381	[]
129	A Song for Ameland	081475	81499	[(12, '12')]
130	UNESCO faces the problem of peace	081475	81480	[]
131	UNESCO's programme for 1951	081475	81485	[(6, '6')]
132	What is not good for humanity as a whole cannot be good for any nation, race or individual	081475	74378	[(3, '3')]
133	World Power Conference to consider latest UNESCO discussion theme	081475	81495	[]
134	The World's stages: a platform for peace	081475	81497	[]
135	"The 1951 General Conference of UNESCO: ""a meeting of great decisions"""	074589	74598	[]
136	The Arts are not just a pleasant pastime	074589	74591	[]
137	Child art as a growing force in education	074589	74593	[]
138	Children as creative artists	074589	74597	[]
139	Do it your own way	074589	74592	[(6, '6'), (7, '7')]
140	Fundamental particles: what are they?	074589	74599	[]
141	Honourable Miss Doll is more than just a toy for Japanese children	074589	74604	[(16, '16')]
142	The Modern calculating machine: an aid to man in his fight for progress	074589	74600	[(13, '13')]
143	The Paradox of British humour	074589	74602	[(15, '15')]
144	Paris: how 80 children aged 9-14 see the capital of France	074589	74596	[]
145	The Right to free and compulsory education	074589	74601	[(14, '14')]
146	Science and newsprint	074589	74603	[(14, '14')]
147	Stories in clay by children under ten	074589	74594	[(11, '11')]
148	1955: big year of decision for TV	069011	69006	[(3, '3'), (27, '27')]
149	Art revival for Ecuador's Indians	069011	69007	[(30, '30')]
150	Better understanding through foreign languages	069011	69002	[(3, '3'), (14, '14')]
151	An Englishman's close-up view of the 'Yanks'	069011	68999	[]
152	Images that do more harm than a thousand words	069011	69004	[(20, '20')]
153	Pictures in our heads	069011	68998	[(3, '3'), (5, '5'), (6, '6'), (8, '8')]
154	Sudan: a land changing faster than the people	069011	69005	[(3, '3'), (23, '23')]
155	What a French village thinks of the foreigner	069011	69003	[(3, '3'), (16, '16')]
156	Youth volunteers across the face of India	069011	69008	[(3, '3'), (32, '32')]
157	1965: International Co-operation Year	078208	33077	[(2, '2')]
158	Educational progress around the world	078208	33226	[]
159	Edward Jenner, the father of vaccination	078208	60302	[(3, '3')]
160	Geneva: world headquarters in the fight against smallpox	078208	60301	[(24, '24')]
161	The International prospects of science	078208	33174	[]
162	New world of teaching machines, or Brave new teaching machines?	078208	33280	[]
163	Science and the common man, pt. 2	078208	60300	[]
164	1967: International Tourist Year	022703	78221	[(3, '3'), (5, '5'), (6, '6'), (8, '8')]
165	Cultural tourism, the unexploited treasure of economic development	022703	23752	[(3, '3'), (11, '11')]
166	Sparking tomorrow's tourist explosion, 1: Turkey	022703	24779	[(3, '3')]
167	Sparking tomorrow's tourist explosion, 2: Peru	022703	25694	[(3, '3')]
168	Sparking tomorrow's tourist explosion, 3: Iran	022703	26619	[(3, '3')]
169	1970, International Education Year	056740	56721	[(3, '3'), (4, '4'), (5, '5'), (6, '6'), (33, '33'), (35, '35')]
170	Are there really too many teachers?	056740	56738	[(3, '3'), (20, '20')]
171	The Cost of world armaments	056740	56735	[(3, '3')]
172	Education put to the question	056740	188141	[(3, '3'), (26, '26'), (27, '27'), (29, '29')]
173	New look in Soviet schools	056740	56739	[(3, '3'), (23, '23')]
174	The Race between education and catastrophe	056740	56725	[(3, '3')]
175	The Student of tomorrow; towards a new global horizon	056740	56737	[(3, '3')]
176	Education: but for whom, and how?	056740	56723	[(3, '3')]
177	1986: Year of Peace, 1	068108	68109	[(2, '2'), (3, '3'), (34, '34')]
178	African voices	068108	68103	[(3, '3'), (15, '15')]
179	The Citadel of Aleppo	068108	68125	[(3, '3')]
180	Eleven Nobel laureates	068108	68085	[(3, '3'), (7, '7')]
181	The Farewell	068108	68126	[(3, '3'), (21, '21')]
182	From the heart of Eastern Europe	068108	68107	[(3, '3'), (27, '27')]
183	Gauderios'	068108	68128	[(3, '3'), (26, '26')]
184	In the world of men	068108	68120	[(3, '3')]
185	The International Year of Peace	068108	68081	[(2, '2'), (3, '3')]
186	Jalali meets his master	068108	68137	[(3, '3'), (29, '29')]
187	Knowledge of the Orient': an imaginative publishing project in partnership with UNESCO	068108	68100	[(3, '3'), (9, '9')]
188	Latin America: a world apart	068108	68106	[(3, '3'), (23, '23')]
189	A Library of world classics	068108	68084	[(3, '3'), (5, '5')]
190	Northern lights: the writers of Scandinavia	068108	68105	[(3, '3'), (20, '20')]
191	The Originality of Japanese literature	068108	68102	[(3, '3'), (12, '12')]
192	The Song of Lawino	068108	68124	[(3, '3'), (16, '16')]
193	Tradition and experiment in Arabic letters	068108	68104	[(3, '3'), (17, '17')]
194	UNESCO's General Conference	068108	68083	[(3, '3'), (4, '4')]
195	Winds	068108	68121	[(3, '3'), (8, '8'), (9, '9'), (14, '14'), (29, '29')]
196	1986: Year of Peace, 10	070725	70719	[(3, '3'), (38, '38')]
197	The Cradle of Polynesian culture	070725	70712	[(3, '3'), (15, '15')]
198	In harmony with nature	070725	70718	[(3, '3'), (37, '37')]
199	Land-locked islands	070725	70715	[(3, '3'), (33, '33')]
200	The Land of the dragon	070725	70716	[(3, '3'), (35, '35')]
201	Maldives: a land of atolls	070725	70710	[(3, '3')]
202	The New frontiers of the sea	070725	70709	[(3, '3'), (12, '12')]
203	New nations of Africa	070725	70714	[(3, '3'), (29, '29')]
204	The Quest for identity	070725	70707	[(3, '3'), (8, '8')]
205	Small countries and the international community	070725	70706	[(3, '3'), (4, '4')]
206	UNESCO: 40 years of action	070725	70705	[(1, '1'), (2, '2'), (3, '3')]
207	Worlds apart	070725	187013	[(3, '3'), (9, '9')]
208	The Caribbean community	070725	70713	[(3, '3'), (23, '23'), (27, '27')]
209	1986: Year of Peace, 11: scientists and peace	074933	70790	[]
210	Al-Ghazali: from philosophy to mystical experience	074933	70769	[]
211	Aleksandr Ostrovksy, founding father of Russian theatre	074933	70772	[]
212	Breakthroughs in brain research	074933	70785	[(3, '3'), (22, '22')]
213	How Japan reckons with the abacus	074933	70784	[(3, '3')]
214	The Human factor in African development	074933	70789	[(3, '3'), (29, '29')]
215	Latin America in European painting; one continent seen through the 'I' of another	074933	70780	[(3, '3')]
216	Saintly sons and daughters: ancient China's enduring cult of filial piety	074933	70781	[(3, '3')]
217	Science and tradition: 'two spokes of a single wheel'	074933	70788	[(3, '3'), (25, '25')]
218	The Spiritual quest of Al-Ghazali	074933	70770	[]
219	1986: Year of Peace, 12: a tribute to Paulo Freire	071641	71639	[]
220	The African heritage	071641	71616	[(3, '3'), (16, '16'), (47, '47')]
221	Art for children, a UNESCO project	071641	71633	[(3, '3'), (42, '42')]
222	Black theatre, Black consciousness	071641	71617	[(3, '3'), (18, '18'), (47, '47')]
223	Brazil and its neighbours	071641	71610	[(3, '3'), (11, '11'), (14, '14'), (47, '47')]
224	Cinema Novo: a cultural revolution on the screen	071641	71628	[(3, '3'), (33, '33')]
225	Clothesline literature: stories told on a shoestring	071641	71625	[(3, '3')]
226	The Concrete poetry movement	071641	71626	[(3, '3'), (28, '28')]
227	A Land of contrasts: from the waters of the Amazon to the drought-stricken Northeast	071641	71606	[]
228	Music, the pulse of a people	071641	71627	[(3, '3'), (29, '29')]
229	Pilgrims of the Southern Cross	071641	71608	[(3, '3'), (8, '8'), (47, '47')]
230	Return ticket: the Brazilian arts make a 'come-back' to Portugal	071641	71630	[(3, '3')]
231	Three continents, one people; American Indians, Europeans and Africans have shaped the destiny of Brazil	071641	71618	[(21, '21')]
232	UNESCO and Brazilian literature	071641	71632	[(3, '3'), (41, '41'), (47, '47')]
233	The Wealth of a nation: facts and figures	071641	71636	[(3, '3')]
234	The Week of Modern Art, 1922: seven days that shook Brazilian culture	071641	71631	[(3, '3'), (38, '38')]
235	Caribbean cousins	071641	71614	[(3, '3'), (16, '16'), (47, '47')]
236	1986, Year of peace, 2	068337	68335	[(3, '3'), (38, '38')]
237	Blue planet: unique in the solar system, only the earth has rain, river and oceans	068337	68301	[]
238	The Challenge of the new ocean regime	068337	68320	[(3, '3'), (28, '28')]
239	Charting the ocean floor	068337	68313	[(3, '3')]
240	A Fortune on the sea bed	068337	68305	[(3, '3'), (8, '8')]
241	Highlights of the Convention on the Law of the Sea	068337	68325	[(3, '3'), (30, '30')]
242	Living treasures of the deep: marine flora and fauna can provide food, medicines and information about the origins of life	068337	68326	[(3, '3')]
243	The Nature and purpose of marine science	068337	68314	[(3, '3')]
244	The Restless currents	068337	68303	[(3, '3'), (7, '7')]
245	Satellites scan the ocean: modern technology in the service of oceanography	068337	68317	[(3, '3'), (23, '23')]
246	Time and tide	068337	68307	[(3, '3'), (9, '9')]
247	Twenty-five years of research: the Intergovernmental Oceanographic Commission	068337	68319	[]
248	World fisheries face growing demand	068337	68330	[(3, '3'), (34, '34')]
249	1986: Year of Peace, 3, messages from young people	068421	68422	[(38, '38')]
250	The Channel tunnel	068421	68415	[(3, '3'), (12, '12')]
251	His n' hers: the changing relationship between the sexes in the Western world	068421	68417	[(3, '3')]
252	Home by a neck: a giraffe's epic journey from Cairo to Paris	068421	68342	[(3, '3'), (7, '7')]
253	Matta: a new way of looking at the world	068421	68420	[(3, '3'), (28, '28')]
254	The Picasso Museum in Paris	068421	68419	[(3, '3'), (26, '26')]
255	The Powers of language	068421	68418	[(3, '3'), (18, '18'), (24, '24'), (25, '25')]
256	Rendezvous with Halley's comet: a major international venture to study a visitor from space	068421	68339	[(3, '3'), (4, '4')]
257	Tango time	068421	68343	[(3, '3'), (10, '10')]
258	1986: Year of Peace: 4	068918	68777	[(3, '3'), (34, '34')]
259	Folklore and phonosphere	068918	68738	[(3, '3'), (17, '17')]
260	The Griot: singer and chronicler of African life	068918	68742	[(3, '3')]
261	The Modern soundscape and noise pollution	068918	68775	[(3, '3'), (31, '31')]
262	Music for all	068918	68736	[(3, '3'), (14, '14')]
263	The Mystery of melody	068918	68733	[(3, '3')]
264	Nueva canción: Latin America's song without frontiers	068918	68730	[(3, '3'), (9, '9')]
265	On wings of song: the lute and the crane in Chinese tradition	068918	68740	[(3, '3'), (18, '18')]
266	Science and music, an interview with Iannis Xenakis	068918	68728	[(3, '3'), (4, '4')]
267	When opera takes to the screen	068918	68744	[(3, '3'), (26, '26')]
268	1986: Year of peace: 5, letter from Nagasaki	069416	69324	[(3, '3')]
269	A 21-point programme for a global strategy in education	069416	69180	[(3, '3'), (33, '33')]
270	African childhood	069416	69185	[(3, '3'), (40, '40')]
271	The Afro-Brazilian experiment	069416	69111	[(3, '3'), (24, '24')]
272	All about Alice	069416	69190	[(3, '3'), (44, '44')]
273	The Angry young men of Oceania	069416	69109	[(3, '3'), (22, '22')]
274	Apartheid: the shameful record	069416	69097	[(3, '3'), (12, '12')]
275	The Blacks in Latin America	069416	69116	[(3, '3'), (28, '28')]
276	The Building blocks of culture	069416	69316	[(3, '3'), (58, '58')]
277	The Candle of learning	069416	69183	[(3, '3'), (38, '38')]
278	The Chronicle of Michoacán	069416	69118	[(3, '3'), (31, '31')]
279	Disabled characters in search of an author	069416	69188	[(3, '3'), (43, '43')]
280	Fifty years of literary life	069416	69105	[(3, '3'), (20, '20')]
281	Food for a hungry world	069416	69093	[(3, '3'), (9, '9')]
282	The Forbidden dialogue	069416	69099	[(3, '3'), (15, '15')]
283	I was born 1,000 years ago'; open letter from a Capilano Indian	069416	69113	[]
284	An Illiterate in Paris	069416	69119	[(3, '3'), (32, '32')]
285	The Image and the word	069416	69199	[(3, '3'), (48, '48')]
286	Ishi, the last of the Yana Indians	069416	69115	[(3, '3'), (27, '27')]
287	The Land-locked island of Paraguay	069416	69117	[(3, '3'), (30, '30')]
288	Lenin and the physical sciences	069416	69321	[(3, '3'), (62, '62')]
289	Leonardo da Vinci, or, The glory of painting	069416	69323	[(3, '3')]
290	Man, the first walkie-talkie	069416	69325	[(3, '3')]
291	The Menace of extinct volcanoes	069416	69102	[(3, '3'), (17, '17')]
292	A Message to world youth	069416	69088	[(2, '2'), (3, '3')]
293	Miniature anthology of works by Al-Biruni: selections from works written a thousand years ago	069416	69320	[(61, '61')]
294	My first steps in space	069416	69184	[(3, '3')]
295	My latest work, a wall	069416	69092	[(8, '8')]
296	Night thoughts, November 1926	069416	69106	[(3, '3'), (21, '21')]
297	The Non-aligned countries pool their news	069416	69312	[(3, '3'), (53, '53')]
298	Nuclear weapons and world sanity	069416	69095	[(3, '3'), (11, '11')]
299	On translation	069416	69313	[(3, '3'), (54, '54')]
300	Painted manuscripts of pre-Columbian America	069416	69314	[(3, '3')]
301	Pictures in our heads	069416	69100	[(3, '3'), (16, '16')]
302	Portrait of a man	069416	69322	[]
303	Racism today: 'us' and 'them'	069416	69098	[(3, '3')]
304	The Roots of a growing world crisis	069416	69089	[(3, '3')]
305	Science, technology and man; Nobel prize-winners' round table	069416	69181	[(3, '3'), (36, '36')]
306	Self-portrait of a woman writer	069416	69197	[(3, '3'), (47, '47')]
307	The Shocking slaughter of Africa's wild life	069416	69103	[(3, '3')]
308	The Sting in the fairy tale	069416	69186	[(3, '3'), (42, '42')]
309	The Action of man who snatches something from death'	069416	69319	[]
310	A Third World view of human rights	069416	69192	[(3, '3'), (45, '45')]
311	Today's crisis in anthropology	069416	69315	[(3, '3')]
312	Tongues that span the centuries	069416	69311	[(3, '3'), (52, '52')]
313	The Truth behind the veil of facts	069416	69182	[(3, '3'), (38, '38')]
314	Where gods and men have mingled	069416	69112	[(3, '3'), (25, '25')]
315	Will deserts drink icebergs?	069416	69104	[(3, '3'), (19, '19')]
316	Women of the Mediterranean: tradition and change	069416	69194	[(3, '3'), (46, '46')]
317	The Writer between two worlds	069416	69317	[(3, '3'), (59, '59')]
318	The Yestermorrow of the book	069416	69200	[(3, '3'), (50, '50')]
319	1986: Year of Peace, 7	069653	69547	[(3, '3'), (38, '38')]
320	Drilling into the unknown	069653	69533	[(3, '3'), (16, '16')]
321	The Evolution of life	069653	69538	[(3, '3')]
322	The Genesis of the Earth	069653	69516	[(3, '3')]
323	The Hand of man	069653	69544	[(3, '3'), (35, '35'), (36, '36')]
324	Inside the Earth	069653	69522	[(3, '3'), (8, '8')]
325	Life from space; does life on Earth have its origins in comets?	069653	69536	[(3, '3'), (33, '33')]
326	Our place in the Solar System	069653	69525	[(3, '3'), (9, '9')]
327	The Restless Earth: the uncertain art of earthquake prediction	069653	69534	[(3, '3'), (23, '23')]
328	Rocks around the clock: the concept of geological time	069653	69531	[(3, '3'), (12, '12')]
329	A Trilogy of rocks	069653	69532	[(3, '3'), (15, '15')]
330	Vital statistics (of the Earth)	069653	69519	[]
331	Volcanoes	069653	69535	[(3, '3'), (8, '8'), (11, '11'), (23, '23'), (25, '25'), (27, '27'), (31, '31')]
332	Wandering continents	069653	69526	[(3, '3')]
333	1986: Year of peace, 8: Love and peace	069680	69675	[]
334	The Cost of peace	069680	69629	[(3, '3'), (8, '8'), (9, '9')]
335	Higher education and peace	069680	69641	[(3, '3'), (18, '18')]
336	Peace, disarmament and technology	069680	69628	[(3, '3'), (6, '6')]
337	Peace as an absolute value	069680	69623	[(3, '3'), (4, '4'), (5, '5')]
338	Peace in the regional context	069680	69632	[(3, '3'), (9, '9')]
339	Perceptions of threat and security	069680	69637	[(3, '3'), (15, '15')]
340	Physicians and the nuclear threat	069680	69644	[(3, '3'), (19, '19')]
341	The Pugwash movement	069680	69636	[(13, '13'), (14, '14')]
342	There is no peace because there is no justice'	069680	69633	[(3, '3'), (11, '11')]
343	A Thousand paper cranes	069680	69669	[(3, '3'), (29, '29')]
344	Towards a new way of thinking	069680	69667	[(3, '3'), (27, '27')]
345	UNESCO and the International Year of Peace	069680	69661	[(3, '3')]
346	The United Nations World Disarmament Campaign	069680	69666	[(3, '3'), (25, '25')]
347	Violence in the Third World	069680	69671	[(3, '3'), (30, '30'), (33, '33')]
348	World military spending: over $1.5 million a minute	069680	69664	[(24, '24')]
349	1986: Year of Peace, 9	070484	70479	[(3, '3'), (34, '34')]
350	Averroës, reason and tolerance	070484	70448	[(3, '3')]
351	Averroës and Maimonides, philosophers of al-Andalus	070484	70436	[(3, '3'), (6, '6')]
352	Ibn Rushd and the Islamic philosophical tradition	070484	70467	[(3, '3'), (25, '25')]
353	Maimonides, a guide for the perplexed	070484	70432	[(3, '3'), (4, '4')]
354	Maimonides, Averroës: a miniature anthology	070484	70444	[]
355	Maimonides the humanist	070484	70471	[(3, '3'), (29, '29')]
356	The Prophet, the scholar and the statesman	070484	70473	[(3, '3'), (32, '32')]
357	Two mediators of medieval thought	070484	70437	[(3, '3'), (14, '14')]
358	A Voice that speaks across the centuries	070484	70445	[(3, '3'), (21, '21')]
359	1996: International Year for the Eradication of Poverty	102622	102617	[(38, '38')]
360	Africa, a fresh start	102622	102614	[(3, '3'), (29, '29')]
361	Chernobyl today	102622	102619	[(3, '3'), (43, '43')]
362	The Children of Confucius	102622	102615	[(3, '3')]
363	Distance education in the high-tech era	102622	102612	[(3, '3'), (27, '27')]
364	Education for tomorrow	102622	102579	[(3, '3'), (6, '6')]
365	The Education of prisoners	102622	102585	[(3, '3'), (14, '14')]
366	The Hands-on approach	102622	102599	[(3, '3'), (22, '22')]
367	Jocelyne Béroard singer with the zouk group Kassav	102622	102620	[]
368	Learning to be' in retrospect	102622	102580	[(3, '3'), (12, '12')]
369	Opening new doors in science education	102622	102586	[(3, '3'), (17, '17')]
370	The Prospects for teachers	102622	102606	[(3, '3'), (26, '26')]
371	The Rarest, most precious vital force	102622	102621	[(50, '50')]
372	Schools at the crossroads	102622	102605	[(3, '3'), (24, '24')]
373	Science made simple	102622	102597	[(3, '3'), (22, '22')]
374	Sharing knowledge	102622	102595	[(3, '3'), (21, '21')]
375	Talamanca - La Amistad, natural bond between two countries	102622	102618	[]
376	Worldwide action for education	102622	102616	[(3, '3'), (36, '36')]
377	A 19th century champion of anti-racism in New Guinea	078447	54308	[(3, '3'), (24, '24')]
378	Inequality before the law in South Africa	078447	54304	[(3, '3')]
379	Learning the three T's in school	078447	54310	[(3, '3'), (28, '28')]
380	The Other person's skin	078447	54306	[(3, '3'), (20, '20'), (22, '22')]
381	Race and I.Q.	078447	54302	[(3, '3'), (5, '5'), (6, '6'), (8, '8'), (12, '12'), (32, '32')]
382	2,000 million persons without access to news: a UNESCO world enquiry	078189	63559	[]
383	A Bold educational reformer and a school for mankind	078189	63582	[(23, '23')]
384	Latest panorama of the world's translations	078189	63587	[(32, '32')]
385	Music of the Orient: a new language for Western ears	078189	63585	[(3, '3'), (27, '27')]
386	Paul Geheeb; in a world of violence, the search for a new humanism	078189	63580	[(20, '20')]
387	A scientist looks at popularization	078189	63577	[(3, '3'), (14, '14')]
388	2,000 world classics on line	116241	116260	[(45, '45')]
389	A Brasilian's home is a castle	116241	116253	[(17, '17')]
390	Cities, citizens, and civilization	116241	116244	[]
